Date,close,high,low,open,DSI,price_reg,plus_3STDV,minus_3STDV,plus_2STDV,minus_2STDV,plus_1STDV,minus_1STDV,norm_dist,norm_lin,peak_trend,peak_trend_minus_STDV,peak_trend_plus_STDV,peak_price,peak_price_minus_STDV,peak_price_plus_STDV,MA_20week,MA_short,MA_long,risk_MA,risk_MA_norm,combined,fg,fg_cat,fg_MA
2010-07-17 00:00:00+00:00,0.04951,0.04951,0.04951,0.04951,1,0.03434434777327272,0.31109527020695815,0.003791553060857565,0.1492384385927474,0.007903689123887853,0.0715925752866142,0.016475650152957162,0.6907240885616919,0.5829839727994766,1.1613037854256243,1.1471793518499127,1.1754282190013359,0.6333461811589608,0.5951218738007701,0.6740256119756152,,,,,,,,,
2010-07-18 00:00:00+00:00,0.08584,0.08585,0.04951,0.04951,2,0.03842217266329049,0.34803270295110167,0.004241737456422654,0.1669580419306361,0.008842121859461144,0.08009301289490733,0.018431861891682867,0.8630966564738104,0.6823896963104277,1.1612033203780388,1.1470788868023272,1.1753277539537503,0.7082319332435536,0.6654880501942418,0.7537212292835269,,,,,,,,,
2010-07-19 00:00:00+00:00,0.0808,0.09307,0.07855,0.08584,3,0.039822945773841406,0.36072107578619755,0.004396380241021099,0.1730449006248638,0.009164482769383893,0.08301299713914519,0.019103839937836552,0.8322802978572246,0.6605359113158513,1.1611028553304532,1.1469784217547416,1.1752272889061648,0.7337272859104431,0.6894446832390104,0.7808541325756708,,,,,,,,,
2010-07-20 00:00:00+00:00,0.0747333333333333,0.08181,0.07426,0.0808,4,0.0407112645645337,0.3687675751998623,0.004494449007739326,0.17690496255326893,0.009368912203038881,0.08486474375902552,0.019529983701473082,0.7958603686616201,0.6378209244309115,1.1610023902828677,1.146877956707156,1.1751268238585793,0.7497622709130042,0.7045119096705792,0.797919034679593,,,,,,,,,
2010-07-21 00:00:00+00:00,0.07921,0.07921,0.06634,0.07426,5,0.041491359119207795,0.37583376634943405,0.004580570017113524,0.18029475158239316,0.009548435916462839,0.08649089134246121,0.019904210198767036,0.8106477416669917,0.6467142958490449,1.1609019252352821,1.1467774916595705,1.1750263588109937,0.7637906772615012,0.7176936603796132,0.8128484768320444,,,,,,,,,
2010-07-22 00:00:00+00:00,0.055945,0.0808,0.05446,0.07921,6,0.04226922963373482,0.3828798118734413,0.004666445496530871,0.18367487636396473,0.009727447809949568,0.08811240279879037,0.020277369780840153,0.6486229282736766,0.5636008853431844,1.1608014601876966,1.146677026611985,1.1749258937634082,0.7777655934211982,0.7308251491902795,0.8277209931541775,,,,,,,,,
2010-07-23 00:00:00+00:00,0.0622833333333333,0.06767,0.0505,0.0505,7,0.04307597601841216,0.39018741853368455,0.004755508819100049,0.1871804770987466,0.009913104927924372,0.0897941075050059,0.020664381678222887,0.692157793936192,0.5836626645732145,1.160700995140111,1.1465765615643995,1.1748254287158226,0.7922590758008115,0.7444439072222144,0.8431453828816095,,0.06976023809523808,,,,,,,
2010-07-24 00:00:00+00:00,0.05454,0.06161,0.0339966666666666,0.06161,8,0.04391989562582524,0.39783174475686106,0.004848675997342257,0.19084760874263662,0.010107316746025554,0.09155330172317618,0.021069226291978493,0.6159373076260828,0.5491379762205076,1.1606005300925257,1.1464760965168141,1.1747249636682373,0.8074229658905522,0.7586926118844928,0.8592832401889122,,0.07047880952380951,,,,,,,
2010-07-25 00:00:00+00:00,0.0505,0.05941,0.0505,0.05545,9,0.04480171228103722,0.40581934703823713,0.004946026940218107,0.19467941657365703,0.010310249838628518,0.09339149430420937,0.021492250855037157,0.5647379362690774,0.5271654616222685,1.1605000650449402,1.1463756314692286,1.1746244986206518,0.8232696656686636,0.7735829166594432,0.8761477636256686,,0.06543023809523808,,,,,,,
2010-07-26 00:00:00+00:00,0.056,0.056,0.05,0.05446,10,0.04571966204264926,0.41413424738254756,0.005047366911829447,0.19866823563739167,0.010521498268647463,0.09530500822071708,0.02193260917047675,0.6087711178853091,0.5460195954179502,1.1603995999973546,1.146275166421643,1.1745240335730662,0.8397658597665911,0.7890835168591243,0.8937034979979486,,0.061887380952380944,,,,,,,
